prim_lang_desc,acct_sts_cd,acct_sts_desc,acct_create_dt,acct_frst_actv_dt,acct_lst_discnt_dt,acct_lst_rcnt_dt,dtv_frst_actv_dt,dtv_actv_ind,blng_pmt_mthd_desc,blng_type_desc,rc1_acct_ind,dtv_lst_discnt_dt,dtv_lst_rcnt_dt,dtv_base_pkg_prd_cd,dtv_prev_bal_amt,dtv_lst_bl_bal_due_amt,dtv_lst_bl_pmt_mthd_cd,dtv_lst_bl_pmt_mthd_desc,contrct_type_cd,lst_cntrct_expr_dt,lst_cntrct_dur_in_mnth,cmbnd_bl_ind
English,D,Disconnect,12/30/2005,1/14/2006,7/24/2015,8/21/2010,1/14/2006,N,LOCKBOX,PAPER STMT,N,7/24/2015,8/21/2010,?,0,0,?,?,?,1/1/1900,0,?
Spanish,D,Disconnect,3/7/2006,3/12/2006,7/30/2015,10/13/2009,3/12/2006,N,LOCKBOX,PAPER STMT,N,7/30/2015,10/13/2009,?,0,0,?,?,?,,,?
English,D,Disconnect,3/2/2006,3/3/2006,7/2/2015,8/9/2012,3/3/2006,N,CREDIT CARD,PAPER STMT,N,7/2/2015,8/9/2012,?,0,0,?,?,?,,,?
English,D,Disconnect,2/27/2006,3/3/2006,7/15/2015,7/5/2013,3/3/2006,N,NONE,PAPER STMT,N,7/15/2015,7/5/2013,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,2/9/2006,2/27/2006,7/4/2015,1/23/2010,2/27/2006,N,CREDIT CARD,PAPER STMT,N,7/4/2015,1/23/2010,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,2/24/2006,3/21/2006,8/30/2015,5/2/2012,3/21/2006,N,CREDIT CARD,PAPER STMT,N,8/30/2015,5/2/2012,?,0,0,?,?,?,,,?
English,M,Migrated,2/24/2006,2/28/2006,7/13/2015,7/19/2015,2/28/2006,N,CREDIT CARD,PAPER STMT,N,7/13/2015,7/19/2015,PREFERRED XTRA,0,0,?,?,?,1/1/1900,0,?
English,M,Migrated,2/22/2006,3/13/2006,8/27/2015,11/24/2015,3/13/2006,N,NONE,PAPER STMT,N,8/27/2015,11/24/2015,XTRA,0,0,?,?,?,1/1/1900,0,?
English,M,Migrated,12/1/2006,12/7/2006,8/14/2015,3/14/2016,12/7/2006,N,CREDIT CARD,PAPER STMT,N,8/14/2015,3/14/2016,XTRA,0,0,?,?,?,1/1/1900,0,?
English,M,Migrated,2/25/2006,2/28/2006,9/8/2015,11/15/2016,2/28/2006,N,CREDIT CARD,PAPER STMT,N,9/8/2015,11/15/2016,SELECT,0,0,?,?,?,1/1/1900,0,?
English,M,Migrated,2/14/2006,2/22/2006,9/17/2015,9/18/2015,2/22/2006,N,CREDIT CARD,PAPER STMT,N,9/17/2015,9/18/2015,XTRA,0,0,?,?,?,1/1/1900,0,?
English,A,Active,8/1/2006,8/2/2006,8/19/2016,5/11/2017,8/2/2006,Y,NONE,PAPER STMT,N,8/19/2016,5/11/2017,SELECT (ALL INCLUDED),0,0,?,?,?,1/1/1900,0,?
Spanish,A,Active,8/21/2006,8/29/2006,8/9/2016,8/31/2016,8/29/2006,Y,CREDIT CARD,PAPER STMT,N,8/9/2016,8/31/2016,ENTERTAINMENT,0,0,?,?,?,1/1/1900,0,?
English,A,Active,3/10/2006,3/12/2006,8/26/2016,5/29/2018,3/12/2006,Y,NONE,EBILL STMT,N,8/26/2016,5/29/2018,SELECT,0,0,?,?,?,1/1/1900,0,?
English,A,Active,1/4/2006,1/10/2006,8/5/2016,8/15/2016,1/10/2006,Y,NONE,PAPER STMT,N,8/5/2016,8/15/2016,CHOICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,6/16/2006,6/16/2006,9/23/2016,10/31/2018,6/16/2006,Y,CREDIT CARD,EBILL STMT,N,9/23/2016,10/31/2018,CHOICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/10/2006,2/15/2006,8/22/2016,9/4/2016,2/15/2006,Y,NONE,PAPER STMT,N,8/22/2016,9/4/2016,SELECT,0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/18/2006,2/21/2006,9/5/2016,5/15/2018,2/21/2006,Y,NONE,PAPER STMT,N,9/5/2016,5/15/2018,ULTIMATE,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,2/27/2006,3/1/2006,9/15/2016,4/6/2011,3/1/2006,N,NONE,PAPER STMT,N,9/15/2016,4/6/2011,?,0,0,?,?,?,,,?
English,D,Disconnect,2/22/2006,3/15/2006,8/24/2016,8/21/2013,3/15/2006,N,NONE,PAPER STMT,N,8/24/2016,8/21/2013,?,0,0,?,?,?,,,?
English,D,Disconnect,2/22/2006,2/27/2006,9/28/2016,7/1/2010,2/27/2006,N,CREDIT CARD,PAPER STMT,N,9/28/2016,7/1/2010,?,0,0,?,?,?,,,?
English,D,Disconnect,3/1/2006,3/10/2006,7/27/2016,12/12/2013,3/10/2006,N,CREDIT CARD,EBILL STMT,N,7/27/2016,12/12/2013,?,0,0,?,?,?,,,?
English,D,Disconnect,3/4/2006,3/9/2006,7/12/2016,10/7/2009,3/9/2006,N,CREDIT CARD,PAPER STMT,N,7/12/2016,10/7/2009,?,0,0,?,?,?,,,?
English,D,Disconnect,3/9/2006,3/15/2006,8/17/2016,5/18/2016,3/15/2006,N,CREDIT CARD,PAPER STMT,N,8/17/2016,5/18/2016,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,3/14/2006,3/24/2006,7/30/2016,6/27/2016,3/24/2006,N,CREDIT CARD,PAPER STMT,N,7/30/2016,6/27/2016,?,0,0,?,?,?,,,?
English,D,Disconnect,2/12/2006,3/1/2006,9/14/2016,6/17/2015,3/1/2006,N,CREDIT CARD,PAPER STMT,N,9/14/2016,6/17/2015,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,1/9/2006,1/9/2006,8/18/2016,3/26/2011,1/9/2006,N,NONE,PAPER STMT,N,8/18/2016,3/26/2011,?,0,0,?,?,?,,,?
English,D,Disconnect,1/10/2006,1/23/2006,8/20/2016,2/14/2015,1/23/2006,N,NONE,PAPER STMT,N,8/20/2016,2/14/2015,?,0,0,?,?,?,,,?
English,D,Disconnect,1/16/2006,1/21/2006,8/8/2016,11/18/2013,1/21/2006,N,EFT,EBILL STMT,N,8/8/2016,11/18/2013,?,0,0,?,?,?,,,?
English,D,Disconnect,1/16/2006,1/18/2006,8/26/2016,8/24/2016,1/18/2006,N,CREDIT CARD,PAPER STMT,N,8/26/2016,8/24/2016,?,0,0,?,?,?,,,?
English,D,Disconnect,2/26/2006,3/6/2006,7/27/2016,5/26/2015,3/6/2006,N,NONE,PAPER STMT,N,7/27/2016,5/26/2015,?,0,0,?,?,?,,,?
English,D,Disconnect,3/7/2006,3/9/2006,8/29/2016,4/14/2008,3/9/2006,N,CREDIT CARD,PAPER STMT,N,8/29/2016,4/14/2008,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,2/23/2006,3/1/2006,7/24/2016,7/23/2016,3/1/2006,N,NONE,PAPER STMT,N,7/24/2016,7/23/2016,?,0,0,?,?,?,,,?
English,M,Migrated,1/15/2006,2/18/2006,9/17/2016,10/22/2016,2/18/2006,N,CREDIT CARD,PAPER STMT,N,9/17/2016,10/22/2016,CHOICE,0,0,?,?,?,1/1/1900,0,?
English,M,Migrated,2/15/2006,2/21/2006,9/5/2016,11/28/2016,2/21/2006,N,CREDIT CARD,PAPER STMT,N,9/5/2016,11/28/2016,SELECT,0,0,?,?,?,1/1/1900,0,?
English,M,Migrated,12/18/2006,12/27/2006,7/29/2016,1/18/2017,12/27/2006,N,CREDIT CARD,PAPER STMT,N,7/29/2016,1/18/2017,ULTIMATE,0,0,?,?,?,1/1/1900,0,?
English,M,Migrated,3/9/2006,3/21/2006,7/31/2016,9/14/2016,3/21/2006,N,EFT,PAPER STMT,N,7/31/2016,9/14/2016,CHOICE,0,0,?,?,?,1/1/1900,0,?
English,S,Suspend,11/20/2006,11/22/2006,8/2/2016,3/8/2017,11/22/2006,Y,CREDIT CARD,EBILL STMT,N,8/2/2016,3/8/2017,ENTERTAINMENT,0,0,?,?,?,1/1/1900,0,?
English,A,Active,1/19/2006,1/25/2006,9/1/2017,1/5/2018,1/25/2006,Y,CREDIT CARD,PAPER STMT,N,9/1/2017,1/5/2018,SELECT (ALL INCLUDED),0,0,?,?,?,1/1/1900,0,?
English,A,Active,6/29/2006,7/5/2006,7/20/2017,9/6/2018,7/5/2006,Y,CREDIT CARD,PAPER STMT,N,7/20/2017,9/6/2018,CHOICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,8/3/2006,8/10/2006,9/2/2017,12/21/2018,8/10/2006,Y,CREDIT CARD,PAPER STMT,N,9/2/2017,12/21/2018,CHOICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/23/2006,3/2/2006,7/12/2017,8/22/2017,3/2/2006,Y,CREDIT CARD,PAPER STMT,N,7/12/2017,8/22/2017,ENTERTAINMENT (ALL INCLUDED),0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/6/2006,2/11/2006,8/1/2017,8/2/2017,2/11/2006,Y,CREDIT CARD,PAPER STMT,N,8/1/2017,8/2/2017,CHOICE XTRA CLASSIC_EXP,0,0,?,?,?,1/1/1900,0,?
English,A,Active,1/2/2006,1/7/2006,7/28/2017,7/30/2017,1/7/2006,Y,CREDIT CARD,PAPER STMT,N,7/28/2017,7/30/2017,MINIMUM SERVICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/27/2006,3/11/2006,7/21/2017,9/25/2017,3/11/2006,Y,NONE,PAPER STMT,N,7/21/2017,9/25/2017,CHOICE (ALL INCLUDED),0,0,?,?,?,1/1/1900,0,?
English,A,Active,1/10/2006,1/15/2006,9/12/2017,10/4/2017,1/15/2006,Y,NONE,PAPER STMT,N,9/12/2017,10/4/2017,PREMIER,0,0,?,?,?,1/1/1900,0,?
English,A,Active,9/19/2006,9/22/2006,7/2/2017,7/2/2017,9/22/2006,Y,CREDIT CARD,PAPER STMT,N,7/2/2017,7/2/2017,MINIMUM SERVICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,3/5/2006,3/19/2006,7/26/2017,11/3/2017,3/19/2006,Y,NONE,EBILL STMT,N,7/26/2017,11/3/2017,SELECT (ALL INCLUDED),0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/20/2006,2/23/2006,7/29/2017,8/14/2018,2/23/2006,Y,NONE,PAPER STMT,N,7/29/2017,8/14/2018,CHOICE (ALL INCLUDED),0,0,?,?,?,1/1/1900,0,?
English,A,Active,8/14/2006,8/23/2006,7/15/2017,8/1/2018,8/23/2006,Y,NONE,PAPER STMT,N,7/15/2017,8/1/2018,ENTERTAINMENT (ALL INCLUDED),0,0,?,?,?,1/1/1900,0,?
English,A,Active,8/30/2006,9/8/2006,7/2/2017,7/31/2018,9/8/2006,Y,CREDIT CARD,PAPER STMT,N,7/2/2017,7/31/2018,FAMILY,0,0,?,?,?,1/1/1900,0,?
English,A,Active,5/29/2006,5/31/2006,9/27/2017,12/7/2017,5/31/2006,Y,CREDIT CARD,PAPER STMT,N,9/27/2017,12/7/2017,PREFERRED XTRA (ALL INCLUDED),0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/11/2006,2/15/2006,7/11/2017,7/12/2017,2/15/2006,Y,CREDIT CARD,EBILL STMT,N,7/11/2017,7/12/2017,CHOICE,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,2/15/2006,2/23/2006,8/16/2017,5/17/2008,2/23/2006,N,CREDIT CARD,EBILL STMT,N,8/16/2017,5/17/2008,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,2/22/2006,3/3/2006,7/27/2017,10/3/2015,3/3/2006,N,NONE,PAPER STMT,N,7/27/2017,10/3/2015,?,0,0,?,?,?,,,?
English,D,Disconnect,2/22/2006,2/27/2006,8/16/2017,8/9/2014,2/27/2006,N,CREDIT CARD,PAPER STMT,N,8/16/2017,8/9/2014,?,0,0,?,?,?,,,?
English,D,Disconnect,2/23/2006,3/7/2006,8/12/2017,10/17/2012,3/7/2006,N,NONE,PAPER STMT,N,8/12/2017,10/17/2012,?,0,0,?,?,?,,,?
English,D,Disconnect,2/24/2006,2/26/2006,9/16/2017,12/29/2007,2/26/2006,N,EFT,EBILL STMT,N,9/16/2017,12/29/2007,?,0,0,?,?,?,,,?
English,D,Disconnect,3/3/2006,3/6/2006,8/13/2017,8/17/2011,3/6/2006,N,CREDIT CARD,PAPER STMT,N,8/13/2017,8/17/2011,?,0,0,?,?,?,,,?
Spanish,D,Disconnect,1/9/2006,1/12/2006,9/29/2017,4/5/2012,1/12/2006,N,CREDIT CARD,PAPER STMT,N,9/29/2017,4/5/2012,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,3/15/2006,3/16/2006,8/26/2017,8/25/2017,3/16/2006,N,NONE,PAPER STMT,N,8/26/2017,8/25/2017,?,0,0,?,?,?,,,?
English,D,Disconnect,12/31/2005,1/12/2006,8/16/2017,3/14/2014,1/12/2006,N,CREDIT CARD,EBILL STMT,N,8/16/2017,3/14/2014,?,0,0,?,?,?,,,?
English,D,Disconnect,1/7/2006,1/22/2006,8/14/2017,9/19/2013,1/22/2006,N,CREDIT CARD,PAPER STMT,N,8/14/2017,9/19/2013,?,0,0,?,?,?,,,?
English,D,Disconnect,1/19/2006,2/11/2006,8/12/2017,10/26/2010,2/11/2006,N,NONE,EBILL STMT,N,8/12/2017,10/26/2010,?,0,0,?,?,?,,,?
English,D,Disconnect,3/16/2006,3/17/2006,8/5/2017,11/12/2013,3/17/2006,N,NONE,EBILL STMT,N,8/5/2017,11/12/2013,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,3/14/2006,3/22/2006,7/4/2017,3/11/2017,3/22/2006,N,CREDIT CARD,EBILL STMT,N,7/4/2017,3/11/2017,?,0,0,?,?,?,,,?
English,D,Disconnect,3/14/2006,3/15/2006,8/20/2017,8/19/2017,3/15/2006,N,CREDIT CARD,PAPER STMT,N,8/20/2017,8/19/2017,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,3/13/2006,3/18/2006,7/24/2017,7/23/2017,3/18/2006,N,CREDIT CARD,PAPER STMT,N,7/24/2017,7/23/2017,?,0,0,?,?,?,,,?
English,D,Disconnect,3/9/2006,3/17/2006,8/22/2017,6/8/2017,3/17/2006,N,NONE,EBILL STMT,N,8/22/2017,6/8/2017,?,0,0,?,?,?,,,?
English,D,Disconnect,2/27/2006,3/6/2006,7/30/2017,1/12/2009,3/6/2006,N,EFT,PAPER STMT,N,7/30/2017,1/12/2009,?,0,0,?,?,?,,,?
English,D,Disconnect,2/22/2006,2/27/2006,8/24/2017,8/23/2017,2/27/2006,N,CREDIT CARD,PAPER STMT,N,8/24/2017,8/23/2017,?,0,0,?,?,?,,,?
English,D,Disconnect,2/24/2006,3/18/2006,8/30/2017,11/19/2013,3/18/2006,N,CREDIT CARD,PAPER STMT,N,8/30/2017,11/19/2013,?,0,0,?,?,?,,,?
English,M,Migrated,1/27/2006,2/1/2006,8/4/2017,12/8/2017,2/1/2006,N,CREDIT CARD,PAPER STMT,N,8/4/2017,12/8/2017,FAMILY,0,0,?,?,?,1/1/1900,0,?
English,A,Active,5/3/2006,5/8/2006,8/1/2018,9/6/2018,5/8/2006,Y,CREDIT CARD,PAPER STMT,N,8/1/2018,9/6/2018,ENTERTAINMENT,0,0,?,?,?,1/1/1900,0,?
English,A,Active,10/10/2006,10/23/2006,7/23/2018,3/7/2019,10/23/2006,Y,CREDIT CARD,PAPER STMT,N,7/23/2018,3/7/2019,MINIMUM SERVICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,11/9/2006,11/16/2006,9/18/2018,9/17/2019,11/16/2006,Y,EFT,PAPER STMT,N,9/18/2018,9/17/2019,SELECT,0,0,?,?,?,1/1/1900,0,?
English,A,Active,9/7/2006,9/11/2006,8/3/2018,8/7/2018,9/11/2006,Y,CREDIT CARD,PAPER STMT,N,8/3/2018,8/7/2018,FAMILY,0,0,?,?,?,1/1/1900,0,?
English,A,Active,1/10/2006,1/13/2006,8/31/2018,9/1/2018,1/13/2006,Y,EFT,PAPER STMT,N,8/31/2018,9/1/2018,ULTIMATE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,12/11/2006,12/26/2006,7/22/2018,7/24/2018,12/26/2006,Y,NONE,PAPER STMT,N,7/22/2018,7/24/2018,MINIMUM SERVICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/24/2006,2/27/2006,7/21/2018,9/20/2018,2/27/2006,Y,NONE,PAPER STMT,N,7/21/2018,9/20/2018,CHOICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,7/29/2006,8/9/2006,7/15/2018,11/6/2018,8/9/2006,Y,CREDIT CARD,EBILL STMT,N,7/15/2018,11/6/2018,CHOICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/1/2006,2/2/2006,9/1/2018,10/18/2018,2/2/2006,Y,EFT,PAPER STMT,N,9/1/2018,10/18/2018,CHOICE,0,0,?,?,?,1/1/1900,0,?
English,A,Active,3/21/2006,4/27/2006,9/30/2018,10/3/2018,4/27/2006,Y,CREDIT CARD,EBILL STMT,N,9/30/2018,10/3/2018,SELECT,0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/9/2006,2/27/2006,7/5/2018,7/5/2018,2/27/2006,Y,EFT,PAPER STMT,N,7/5/2018,7/5/2018,FAMILY,0,0,?,?,?,1/1/1900,0,?
English,A,Active,2/21/2006,2/21/2006,9/21/2018,10/29/2018,2/21/2006,Y,CREDIT CARD,PAPER STMT,N,9/21/2018,10/29/2018,ULTIMATE (ALL INCLUDED),0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,5/18/2006,5/25/2006,8/16/2018,1/1/1900,5/25/2006,N,Direct Pay,EBILL STMT,Y,8/16/2018,1/1/1900,?,0,0,6,Direct Pay,?,1/1/1900,0,?
Spanish,D,Disconnect,6/5/2006,6/7/2006,9/22/2018,1/1/1900,6/5/2006,N,Cash Payment,EBILL STMT,Y,9/22/2018,1/1/1900,?,10,10,8,Cash Payment,?,1/1/1900,0,?
Spanish,D,Disconnect,7/11/2006,7/19/2006,9/27/2018,1/1/1900,7/11/2006,N,Cash Payment,EBILL STMT,Y,9/27/2018,1/1/1900,?,63.33,63.33,8,Cash Payment,B,9/27/2018,8,?
English,D,Disconnect,8/8/2006,11/2/2009,9/11/2018,1/1/1900,8/8/2006,N,True Credit Card,EBILL STMT,Y,9/11/2018,1/1/1900,?,0,0,E,True Credit Card,?,1/1/1900,0,?
English,D,Disconnect,12/29/2006,1/8/2007,9/1/2018,1/1/1900,12/29/2006,N,Cash Payment,EBILL STMT,Y,9/1/2018,1/1/1900,?,19.67,19.67,8,Cash Payment,?,1/1/1900,0,?
